summonerName,kills,assists,deaths,championName,lane,champExperience,dragonKills,baronKills,goldEarned,totalDamageDealtToChampions,totalHeal,totalMinionsKilled,turretTakedowns,turretsLost,visionScore,timePlayed,win
Water Is Moist,2,22,10,Nautilus,BOTTOM,13680,0,0,9402,11081,2998,24,0,4,39,1779,True
Water Is Moist,1,29,10,Nautilus,BOTTOM,13202,0,0,8913,8308,2838,27,4,6,31,1804,True
Water Is Moist,3,9,5,Nautilus,BOTTOM,8249,0,0,7528,5609,323,30,2,2,39,1356,True
Water Is Moist,2,15,13,Nautilus,BOTTOM,11427,0,0,8460,6775,3561,34,1,6,53,2035,False
Water Is Moist,5,16,5,Nautilus,BOTTOM,11321,0,0,8787,6473,0,30,2,1,36,1476,True
Water Is Moist,4,12,8,Karma,BOTTOM,12117,0,0,9563,13333,4384,15,2,8,53,1820,False
En0rmous,10,9,7,Kayn,JUNGLE,17534,1,0,15534,31292,20375,87,4,4,30,1970,True
En0rmous,3,5,9,Lux,BOTTOM,7144,1,0,6895,14346,0,37,1,6,22,1306,False
En0rmous,11,10,5,Kayn,JUNGLE,20910,1,0,16068,22298,16910,95,3,2,18,1939,True
En0rmous,3,5,6,Rammus,JUNGLE,14604,1,0,11511,9442,13581,25,2,2,20,1942,True
En0rmous,7,19,9,Sejuani,JUNGLE,22809,1,0,16476,26809,16407,106,2,11,26,2608,False
En0rmous,6,8,4,Kayn,JUNGLE,14198,2,0,13092,15070,15885,92,3,3,19,1696,True
En0rmous,4,10,4,Lux,NONE,7021,1,0,7714,11404,29,46,1,0,22,1160,True
En0rmous,8,11,2,Ezreal,BOTTOM,14540,0,0,12342,19839,5141,147,4,3,21,1767,True
En0rmous,1,39,8,Yuumi,BOTTOM,16241,0,0,11248,15130,33468,9,4,7,37,2338,True
En0rmous,10,7,10,Kayn,JUNGLE,17009,0,0,14475,23758,16717,67,0,10,15,1990,False
Brizza,11,3,10,Kalista,BOTTOM,10782,0,0,13341,15672,3497,172,1,11,15,1556,False
Brizza,19,9,4,TahmKench,TOP,22638,0,0,19368,43502,30275,191,4,6,25,2170,True
Brizza,6,1,12,Kalista,BOTTOM,12650,0,0,11345,12224,3767,180,1,10,13,1788,False
Brizza,10,14,1,Chogath,JUNGLE,15130,1,1,13612,17804,26242,17,3,3,32,1791,True
Brizza,9,3,12,MasterYi,JUNGLE,15153,1,0,14422,13435,10799,35,1,9,35,2044,False
Brizza,13,9,4,Kennen,MIDDLE,16523,0,0,14033,29703,5185,162,4,6,18,1826,True
Brizza,4,23,10,Sejuani,JUNGLE,18738,3,2,14215,21856,20758,23,0,9,34,2344,False
Brizza,6,2,5,Khazix,JUNGLE,10684,0,0,10820,8820,8392,24,0,9,29,1715,False
Brizza,14,9,2,Khazix,JUNGLE,15415,3,0,14947,21815,13413,28,4,3,29,1693,True
Brizza,5,14,4,Sejuani,JUNGLE,16125,5,1,13219,13183,19279,52,4,1,33,1890,True
MrPuhapracli,4,3,8,Zeri,BOTTOM,11869,0,0,9931,8268,1714,170,0,10,12,1746,False
MrPuhapracli,3,1,3,Zeri,BOTTOM,7186,0,0,7746,3315,893,159,1,3,11,1207,False
MrPuhapracli,11,3,1,Zeri,BOTTOM,8617,1,0,11598,11471,3299,155,7,1,11,1246,True
MrPuhapracli,11,10,9,Zeri,BOTTOM,23671,0,0,22030,36469,12618,318,4,10,37,2706,False
MrPuhapracli,0,8,9,Rell,BOTTOM,9477,0,0,6176,6535,653,31,0,5,35,1750,False
MrPuhapracli,11,23,9,Gnar,NONE,21063,0,0,13817,28792,7851,56,4,1,0,1093,True
MrPuhapracli,4,13,4,Lux,NONE,10112,0,0,8150,5209,61,22,4,0,0,723,True
MrPuhapracli,5,14,17,Brand,NONE,15641,0,0,9985,13267,342,25,0,4,0,940,False
MrPuhapracli,6,16,14,Annie,NONE,15245,0,0,11116,16739,458,24,0,4,0,1113,False
MrPuhapracli,5,7,7,Zeri,BOTTOM,15559,0,1,13314,13968,4379,228,1,9,19,1987,False
sarrios,15,16,17,Quinn,NONE,16271,0,0,14598,28225,2806,30,3,0,3,1178,True
sarrios,4,9,7,Diana,NONE,8572,0,0,8456,9829,997,13,0,2,0,904,False
sarrios,3,11,9,Akshan,NONE,12993,0,0,10358,8527,482,25,1,1,0,1081,True
sarrios,10,14,8,Twitch,NONE,11691,0,0,11456,14150,1334,30,1,0,0,888,True
sarrios,16,12,4,Kaisa,NONE,12869,0,0,12100,21784,2801,39,2,0,0,815,True
